Freq.	V(out)
1.00000000000000e+00	(-5.09134293746513e+00dB,1.45845252613048e+02°)
1.00076782298960e+00	(-5.07941443560836e+00dB,1.45828867166119e+02°)
1.00153623553134e+00	(-5.06748754480000e+00dB,1.45812469298790e+02°)
1.00230523807790e+00	(-5.05556226704603e+00dB,1.45796059018939e+02°)
1.00307483108229e+00	(-5.04363860339278e+00dB,1.45779636324445e+02°)
1.00384501499789e+00	(-5.03171655593868e+00dB,1.45763201223056e+02°)
1.00461579027839e+00	(-5.01979612627785e+00dB,1.45746753718602e+02°)
1.00538715737789e+00	(-5.00787731586691e+00dB,1.45730293812087e+02°)
1.00615911675077e+00	(-4.99596012674248e+00dB,1.45713821511934e+02°)
1.00693166885180e+00	(-4.98404455999178e+00dB,1.45697336815716e+02°)
1.00770481413610e+00	(-4.97213061762754e+00dB,1.45680839730452e+02°)
1.00847855305913e+00	(-4.96021830145853e+00dB,1.45664330263302e+02°)
1.00925288607668e+00	(-4.94830761278954e+00dB,1.45647808413105e+02°)
1.01002781364493e+00	(-4.93639855344010e+00dB,1.45631274185471e+02°)
1.01080333622038e+00	(-4.92449112490203e+00dB,1.45614727583164e+02°)
1.01157945425990e+00	(-4.91258532888981e+00dB,1.45598168610761e+02°)
1.01235616822069e+00	(-4.90068116724812e+00dB,1.45581597273275e+02°)
1.01313347856031e+00	(-4.88877864120918e+00dB,1.45565013570628e+02°)
1.01391138573668e+00	(-4.87687775292300e+00dB,1.45548417512056e+02°)
1.01468989020806e+00	(-4.86497850362001e+00dB,1.45531809097780e+02°)
1.01546899243308e+00	(-4.85308089503157e+00dB,1.45515188331221e+02°)
1.01624869287070e+00	(-4.84118492909168e+00dB,1.45498555220324e+02°)
1.01702899198023e+00	(-4.82929060713029e+00dB,1.45481909765293e+02°)
1.01780989022136e+00	(-4.81739793094205e+00dB,1.45465251971440e+02°)
1.01859138805412e+00	(-4.80550690208156e+00dB,1.45448581841773e+02°)
1.01937348593887e+00	(-4.79361752226641e+00dB,1.45431899381338e+02°)
1.02015618433636e+00	(-4.78172979316693e+00dB,1.45415204593770e+02°)
1.02093948370768e+00	(-4.76984371630479e+00dB,1.45398497481764e+02°)
1.02172338451426e+00	(-4.75795929351670e+00dB,1.45381778051981e+02°)
1.02250788721790e+00	(-4.74607652628677e+00dB,1.45365046305805e+02°)
1.02329299228075e+00	(-4.73419541628427e+00dB,1.45348302248300e+02°)
1.02407870016532e+00	(-4.72231596522666e+00dB,1.45331545883562e+02°)
1.02486501133447e+00	(-4.71043817473375e+00dB,1.45314777215395e+02°)
1.02565192625141e+00	(-4.69856204642348e+00dB,1.45297996247747e+02°)
1.02643944537971e+00	(-4.68668758214775e+00dB,1.45281202987109e+02°)
1.02722756918330e+00	(-4.67481478303669e+00dB,1.45264397431225e+02°)
