Freq.	V(out)
1.00000000000000e+00	(-5.14338751263613e+00dB,1.46087201306247e+02°)
1.00076782298960e+00	(-5.13143707346013e+00dB,1.46070944496525e+02°)
1.00153623553134e+00	(-5.11948822460379e+00dB,1.46054675232219e+02°)
1.00230523807790e+00	(-5.10754096780221e+00dB,1.46038393518143e+02°)
1.00307483108229e+00	(-5.09559530474569e+00dB,1.46022099357643e+02°)
1.00384501499789e+00	(-5.08365123706551e+00dB,1.46005792754480e+02°)
1.00461579027839e+00	(-5.07170876619818e+00dB,1.45989473709820e+02°)
1.00538715737789e+00	(-5.05976789394908e+00dB,1.45973142228760e+02°)
1.00615911675077e+00	(-5.04782862198459e+00dB,1.45956798315353e+02°)
1.00693166885180e+00	(-5.03589095197087e+00dB,1.45940441973797e+02°)
1.00770481413610e+00	(-5.02395488543792e+00dB,1.45924073205454e+02°)
1.00847855305913e+00	(-5.01202042412627e+00dB,1.45907692015390e+02°)
1.00925288607668e+00	(-5.00008756953535e+00dB,1.45891298406302e+02°)
1.01002781364493e+00	(-4.98815632360065e+00dB,1.45874892384462e+02°)
1.01080333622038e+00	(-4.97622668767343e+00dB,1.45858473949946e+02°)
1.01157945425990e+00	(-4.96429866353871e+00dB,1.45842043108199e+02°)
1.01235616822069e+00	(-4.95237225290116e+00dB,1.45825599863374e+02°)
1.01313347856031e+00	(-4.94044745721368e+00dB,1.45809144217338e+02°)
1.01391138573668e+00	(-4.92852427829370e+00dB,1.45792676175812e+02°)
1.01468989020806e+00	(-4.91660271772484e+00dB,1.45776195741259e+02°)
1.01546899243308e+00	(-4.90468277711816e+00dB,1.45759702917056e+02°)
1.01624869287070e+00	(-4.89276445835056e+00dB,1.45743197709961e+02°)
1.01702899198023e+00	(-4.88084776266271e+00dB,1.45726680119098e+02°)
1.01780989022136e+00	(-4.86893269187368e+00dB,1.45710150150003e+02°)
1.01859138805412e+00	(-4.85701924771057e+00dB,1.45693607806988e+02°)
1.01937348593887e+00	(-4.84510743187626e+00dB,1.45677053094614e+02°)
1.02015618433636e+00	(-4.83319724583499e+00dB,1.45660486015128e+02°)
1.02093948370768e+00	(-4.82128869135591e+00dB,1.45643906573076e+02°)
1.02172338451426e+00	(-4.80938177009897e+00dB,1.45627314772753e+02°)
1.02250788721790e+00	(-4.79747648353146e+00dB,1.45610710615947e+02°)
1.02329299228075e+00	(-4.78557283348581e+00dB,1.45594094109093e+02°)
1.02407870016532e+00	(-4.77367082155120e+00dB,1.45577465253715e+02°)
1.02486501133447e+00	(-4.76177044932590e+00dB,1.45560824054946e+02°)
1.02565192625141e+00	(-4.74987171842450e+00dB,1.45544170515361e+02°)
1.02643944537971e+00	(-4.73797463060574e+00dB,1.45527504640515e+02°)
1.02722756918330e+00	(-4.72607918755367e+00dB,1.45510826433816e+02°)
1.02801629812647e+00	(-4.71418539078804e+00dB,1.45494135898684e+02°)
1.02880563267386e+00	(-4.70229324201771e+00dB,1.45477433039564e+02°)
1.02959557329045e+00	(-4.69040274294958e+00dB,1.45460717861041e+02°)
1.03038612044162e+00	(-4.67851389492543e+00dB,1.45443990363420e+02°)
1.03117727459306e+00	(-4.66662669998392e+00dB,1.45427250555264e+02°)
1.03196903621084e+00	(-4.65474115968071e+00dB,1.45410498438779e+02°)
1.03276140576140e+00	(-4.64285727545875e+00dB,1.45393734016830e+02°)
1.03355438371151e+00	(-4.63097504913769e+00dB,1.45376957294170e+02°)
1.03434797052833e+00	(-4.61909448222921e+00dB,1.45360168274490e+02°)
1.03514216667934e+00	(-4.60721557660943e+00dB,1.45343366963406e+02°)
1.03593697263242e+00	(-4.59533833368009e+00dB,1.45326553362795e+02°)
1.03673238885579e+00	(-4.58346275521849e+00dB,1.45309727478124e+02°)
1.03752841581801e+00	(-4.57158884283258e+00dB,1.45292889312325e+02°)
1.03832505398804e+00	(-4.55971659810105e+00dB,1.45276038869459e+02°)
1.03912230383517e+00	(-4.54784602280990e+00dB,1.45259176154486e+02°)
1.03992016582906e+00	(-4.53597711856596e+00dB,1.45242301171596e+02°)
1.04071864043973e+00	(-4.52410988702849e+00dB,1.45225413924874e+02°)
1.04151772813757e+00	(-4.51224432959466e+00dB,1.45208514415468e+02°)
1.04231742939330e+00	(-4.50038044834322e+00dB,1.45191602651781e+02°)
1.04311774467805e+00	(-4.48851824445808e+00dB,1.45174678634498e+02°)
1.04391867446328e+00	(-4.47665771992854e+00dB,1.45157742370123e+02°)
1.04472021922080e+00	(-4.46479887642230e+00dB,1.45140793863345e+02°)
1.04552237942282e+00	(-4.45294171531802e+00dB,1.45123833115218e+02°)
1.04632515554188e+00	(-4.44108623831722e+00dB,1.45106860131392e+02°)
1.04712854805090e+00	(-4.42923244731898e+00dB,1.45089874917577e+02°)
1.04793255742316e+00	(-4.41738034366168e+00dB,1.45072877475411e+02°)
1.04873718413230e+00	(-4.40552992912423e+00dB,1.45055867810563e+02°)
1.04954242865232e+00	(-4.39368120528485e+00dB,1.45038845926368e+02°)
1.05034829145760e+00	(-4.38183417394819e+00dB,1.45021811828622e+02°)
1.05115477302287e+00	(-4.36998883668616e+00dB,1.45004765520938e+02°)
1.05196187382322e+00	(-4.35814519495230e+00dB,1.44987707005088e+02°)
1.05276959433413e+00	(-4.34630325060798e+00dB,1.44970636288658e+02°)
1.05357793503141e+00	(-4.33446300532257e+00dB,1.44953553375191e+02°)
1.05438689639126e+00	(-4.32262446059581e+00dB,1.44936458268305e+02°)
1.05519647889024e+00	(-4.31078761810126e+00dB,1.44919350971782e+02°)
1.05600668300528e+00	(-4.29895247957506e+00dB,1.44902231490908e+02°)
1.05681750921366e+00	(-4.28711904652858e+00dB,1.44885099829626e+02°)
1.05762895799304e+00	(-4.27528732066063e+00dB,1.44867955991134e+02°)
1.05844102982146e+00	(-4.26345730374827e+00dB,1.44850799983392e+02°)
1.05925372517729e+00	(-4.25162899723830e+00dB,1.44833631806843e+02°)
1.06006704453930e+00	(-4.23980240273038e+00dB,1.44816451466352e+02°)
1.06088098838661e+00	(-4.22797752212092e+00dB,1.44799258968842e+02°)
1.06169555719873e+00	(-4.21615435696060e+00dB,1.44782054317144e+02°)
1.06251075145550e+00	(-4.20433290874419e+00dB,1.44764837514479e+02°)
1.06332657163716e+00	(-4.19251317917878e+00dB,1.44747608566517e+02°)
